row,col,map_x,map_y,similarity,R_mean,R_std,G_mean,G_std,B_mean,B_std,GLCM_contrast,GLCM_homogeneity,GLCM_energy,GLCM_correlation,edge_density,DSM_mean,DSM_std,DSM_roughness,pct_ceramic,pct_fiber,pct_paved_road,pct_exposed_soil,pct_vegetation,informality_idx,formality_idx
100,400,186998.7638,8951391.8997,0.596616,126.441673,34.403389,124.982773,29.777014,102.627899,29.022825,17.152143,0.285828,0.052564,0.854604,0.322350,15.621239,9.185913,3.725422,0.033975,0.016825,0.007250,0.160250,0.761425,0.211050,0.768675
100,500,187048.7638,8951391.8997,0.211862,132.082397,29.126945,128.318451,26.012619,111.996048,26.631439,11.630395,0.344774,0.068714,0.869888,0.257125,16.870644,9.586892,4.135207,0.035025,0.050500,0.014600,0.137500,0.733825,0.223025,0.748425
100,600,187098.7638,8951391.8997,0.064499,136.961319,19.310801,130.015198,19.449783,115.594299,19.184103,7.460819,0.415511,0.098029,0.839252,0.173400,17.714424,10.819459,4.599636,0.048125,0.044125,0.011000,0.125300,0.745850,0.217550,0.756850
100,700,187148.7638,8951391.8997,0.124596,134.330521,17.743942,126.330551,17.059080,110.250252,16.970387,7.316283,0.428092,0.110462,0.800739,0.152025,21.045376,13.130947,5.461643,0.077425,0.013650,0.004175,0.142675,0.749450,0.233750,0.753625
100,800,187198.7638,8951391.8997,0.123807,136.968018,19.481674,127.635597,18.776577,111.869598,19.924395,8.749071,0.431284,0.106379,0.805470,0.135150,24.980482,14.929898,6.340960,0.132700,0.013850,0.032875,0.162925,0.647025,0.309475,0.679900
100,900,187248.7638,8951391.8997,0.152272,137.029297,21.527786,127.325653,21.661247,112.711075,23.199547,9.856717,0.453711,0.113258,0.830694,0.098350,27.425976,15.728683,6.765235,0.138250,0.021450,0.064250,0.129125,0.632250,0.288825,0.696500
100,1000,187298.7638,8951391.8997,0.180276,135.370682,23.644484,127.275322,24.392456,115.212227,25.421768,11.557045,0.442596,0.105138,0.839090,0.125650,27.997044,15.136690,6.843781,0.115575,0.065200,0.069200,0.080850,0.648700,0.261625,0.717900
100,1100,187348.7638,8951391.8997,0.362315,134.015701,28.039694,127.385353,28.944866,118.151573,28.861641,14.837100,0.393631,0.077157,0.852356,0.207550,26.931381,14.063037,6.599320,0.136325,0.110850,0.081850,0.062500,0.584400,0.309675,0.666250
100,1200,187398.7638,8951391.8997,0.599304,138.596527,34.502411,128.885223,33.948189,119.490479,32.406502,20.984001,0.354341,0.057890,0.849766,0.264250,25.125097,13.909719,6.318585,0.241500,0.090125,0.079325,0.143950,0.419775,0.475575,0.499100
100,1300,187448.7638,8951391.8997,0.656863,142.526199,36.115746,130.228500,36.550701,120.924652,34.399658,26.049490,0.341683,0.057454,0.835533,0.274550,25.910160,14.907496,6.495542,0.315150,0.079150,0.074950,0.179475,0.315075,0.573775,0.390025
100,1400,187498.7638,8951391.8997,0.634297,140.794144,35.524872,130.362228,36.392872,119.823624,34.736145,25.405952,0.338673,0.055905,0.838893,0.264175,25.653950,15.422185,6.322743,0.245250,0.078625,0.076925,0.179725,0.380875,0.503600,0.457800
100,1500,187548.7638,8951391.8997,0.506821,143.884369,37.958637,135.690521,37.913090,123.646378,37.105309,25.801565,0.360976,0.054861,0.852890,0.240300,22.467016,14.104843,5.886977,0.158850,0.087925,0.090325,0.213125,0.416500,0.459900,0.506825
